repo_name,owner,repo_name_short,language,description,html_url,norm_openrank,norm_star_fork_avg,norm_activity,openrank_slope,activity_volatility,star_growth_rate,ecosystem_correlation,contributor_strength,semantic_similarity,basic_strength_score,temporal_dynamic_score,relationship_enhancement_score,final_priority_score
openai/codex,openai,codex,Rust,Lightweight coding agent that runs in your terminal,https://github.com/openai/codex,1.22,1.26,8.37,1.22,0.02,1.22,6.09,0.02,1.22,2.66,0.86,3.29,2.19
freqtrade/freqtrade,freqtrade,freqtrade,Python,"Free, open source crypto trading bot",https://github.com/freqtrade/freqtrade,1.01,1.11,8.47,1.01,0.22,1.01,6.75,0.22,1.01,2.53,0.77,3.64,2.19
BerriAI/litellm,BerriAI,litellm,Python,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]",https://github.com/BerriAI/litellm,0.74,0.78,8.02,0.74,0.21,0.74,8.41,0.21,0.74,2.21,0.58,4.41,2.19
iamkun/dayjs,iamkun,dayjs,JavaScript,⏰ Day.js 2kB immutable date-time library alternative to Moment.js with the same modern API,https://github.com/iamkun/dayjs,1.07,1.02,8.54,1.07,0.01,1.07,6.87,0.01,1.07,2.55,0.75,3.65,2.19
gofiber/fiber,gofiber,fiber,Go,⚡️ Express inspired web framework written in Go,https://github.com/gofiber/fiber,0.86,0.82,7.81,0.86,0.03,0.86,8.22,0.03,0.86,2.24,0.61,4.29,2.18
akullpp/awesome-java,akullpp,awesome-java,0,"A curated list of awesome frameworks, libraries and software for the Java programming language.",https://github.com/akullpp/awesome-java,1.02,1.09,7.59,1.02,0.01,1.02,7.49,0.01,1.02,2.36,0.72,3.96,2.18
jax-ml/jax,jax-ml,jax,Python,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more",https://github.com/jax-ml/jax,0.76,0.76,7.67,0.76,0.23,0.76,8.43,0.23,0.76,2.14,0.6,4.43,2.18
romkatv/powerlevel10k,romkatv,powerlevel10k,Shell,A Zsh theme,https://github.com/romkatv/powerlevel10k,1.15,1.1,9.81,1.15,0.03,1.15,5.51,0.03,1.15,2.87,0.81,2.99,2.18
tinygrad/tinygrad,tinygrad,tinygrad,Python,You like pytorch? You like micrograd? You love tinygrad! ❤️ ,https://github.com/tinygrad/tinygrad,0.68,0.7,7.76,0.68,0.08,0.68,8.99,0.08,0.68,2.1,0.5,4.65,2.18
ultralytics/ultralytics,ultralytics,ultralytics,Python,Ultralytics YOLO 🚀,https://github.com/ultralytics/ultralytics,1.12,1.22,8.33,1.12,0.02,1.12,6.5,0.02,1.12,2.59,0.79,3.48,2.18
google/guava,google,guava,Java,Google core libraries for Java,https://github.com/google/guava,1.13,1.26,7.76,1.13,0.05,1.13,6.69,0.05,1.13,2.49,0.81,3.58,2.18
fish-shell/fish-shell,fish-shell,fish-shell,Rust,The user-friendly command line shell.,https://github.com/fish-shell/fish-shell,0.7,0.69,8.68,0.7,0.16,0.7,8.16,0.16,0.7,2.29,0.54,4.27,2.17
tokio-rs/tokio,tokio-rs,tokio,Rust,"A runtime for writing reliable asynchronous applications with Rust. Provides I/O, networking, scheduling, timers, ...",https://github.com/tokio-rs/tokio,0.68,0.68,7.76,0.68,0.03,0.68,9.05,0.03,0.68,2.09,0.48,4.67,2.17
pmndrs/zustand,pmndrs,zustand,TypeScript,🐻 Bear necessities for state management in React,https://github.com/pmndrs/zustand,1.24,1.17,7.45,1.24,0.01,1.24,6.54,0.01,1.24,2.46,0.87,3.52,2.17
kovidgoyal/kitty,kovidgoyal,kitty,Python,"If you live in the terminal, kitty is made for you! Cross-platform, fast, feature-rich, GPU based.",https://github.com/kovidgoyal/kitty,0.67,0.64,9.81,0.67,0.12,0.67,7.6,0.12,0.67,2.49,0.51,3.97,2.17
isocpp/CppCoreGuidelines,isocpp,CppCoreGuidelines,CSS,"The C++ Core Guidelines are a set of tried-and-true guidelines, rules, and best practices about coding in C++",https://github.com/isocpp/CppCoreGuidelines,0.98,1.01,9.03,0.98,0.02,0.98,6.71,0.02,0.98,2.6,0.69,3.56,2.17
geekcomputers/Python,geekcomputers,Python,Python,My Python Examples,https://github.com/geekcomputers/Python,0.76,0.95,7.78,0.76,0.04,0.76,8.39,0.04,0.76,2.22,0.54,4.36,2.17
NervJS/taro,NervJS,taro,TypeScript,开放式跨端跨框架解决方案，支持使用 React/Vue 等框架来开发微信/京东/百度/支付宝/字节跳动/ QQ 小程序/H5/React Native 等应用。  https://taro.zone/,https://github.com/NervJS/taro,0.82,0.85,9.76,0.82,0.1,0.82,6.89,0.1,0.82,2.62,0.6,3.64,2.17
paperless-ngx/paperless-ngx,paperless-ngx,paperless-ngx,Python,"A community-supported supercharged document management system: scan, index and archive all your documents",https://github.com/paperless-ngx/paperless-ngx,0.78,0.76,8.56,0.78,0.08,0.78,7.87,0.08,0.78,2.33,0.57,4.11,2.16
mtdvio/every-programmer-should-know,mtdvio,every-programmer-should-know,0,A collection of (mostly) technical things every software developer should know about,https://github.com/mtdvio/every-programmer-should-know,2.14,2.13,7.78,2.14,0.0,2.14,1.8,0.0,2.14,3.27,1.5,1.33,2.16
tesseract-ocr/tesseract,tesseract-ocr,tesseract,C++,Tesseract Open Source OCR Engine (main repository),https://github.com/tesseract-ocr/tesseract,1.58,1.65,8.47,1.58,0.05,1.58,3.98,0.05,1.58,2.98,1.12,2.32,2.16
raysan5/raylib,raysan5,raylib,C,A simple and easy-to-use library to enjoy videogames programming,https://github.com/raysan5/raylib,0.66,0.66,7.88,0.66,0.07,0.66,8.9,0.07,0.66,2.11,0.48,4.6,2.16
openai/gym,openai,gym,Python,A toolkit for developing and comparing reinforcement learning algorithms.,https://github.com/openai/gym,0.81,0.92,8.68,0.81,0.01,0.81,7.52,0.01,0.81,2.42,0.57,3.92,2.15
jondot/awesome-react-native,jondot,awesome-react-native,JavaScript,"Awesome React Native components, news, tools, and learning material!",https://github.com/jondot/awesome-react-native,0.78,0.8,7.48,0.78,0.02,0.78,8.47,0.02,0.78,2.13,0.55,4.4,2.14
mattermost/mattermost,mattermost,mattermost,TypeScript,Mattermost is an open source platform for secure collaboration across the entire software development lifecycle..,https://github.com/mattermost/mattermost,0.77,0.87,7.76,0.77,0.15,0.77,8.1,0.15,0.77,2.2,0.58,4.25,2.14
veggiemonk/awesome-docker,veggiemonk,awesome-docker,0,:whale: A curated list of Docker resources and projects,https://github.com/veggiemonk/awesome-docker,0.77,0.77,7.67,0.77,0.02,0.77,8.43,0.02,0.77,2.15,0.55,4.37,2.14
microsoft/ML-For-Beginners,microsoft,ML-For-Beginners,Jupyter Notebook,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all",https://github.com/microsoft/ML-For-Beginners,1.82,2.06,8.09,1.82,0.01,1.82,2.73,0.01,1.82,3.15,1.28,1.74,2.14
mindsdb/mindsdb,mindsdb,mindsdb,Python,Query Engine for AI - The only MCP Server you'll ever need,https://github.com/mindsdb/mindsdb,0.84,0.89,7.59,0.84,0.14,0.84,7.89,0.14,0.84,2.21,0.63,4.15,2.14
restic/restic,restic,restic,Go,"Fast, secure, efficient backup program",https://github.com/restic/restic,0.7,0.67,8.07,0.7,0.07,0.7,8.34,0.07,0.7,2.16,0.51,4.33,2.13
continuedev/continue,continuedev,continue,TypeScript,⏩ Ship faster with Continuous AI. Open-source CLI that can be used in TUI mode as a coding agent or Headless mode to run background agents,https://github.com/continuedev/continue,0.68,0.7,8.21,0.68,0.15,0.68,8.24,0.15,0.68,2.19,0.52,4.3,2.13
apache/spark,apache,spark,Scala,Apache Spark - A unified analytics engine for large-scale data processing,https://github.com/apache/spark,0.94,1.44,7.08,0.94,0.33,0.94,6.98,0.33,0.94,2.32,0.75,3.77,2.13
DioxusLabs/dioxus,DioxusLabs,dioxus,Rust,"Fullstack app framework for web, desktop, and mobile.",https://github.com/DioxusLabs/dioxus,0.73,0.69,8.7,0.73,0.05,0.73,7.78,0.05,0.73,2.31,0.52,4.05,2.12
netty/netty,netty,netty,Java,Netty project - an event-driven asynchronous network application framework,https://github.com/netty/netty,0.76,1.02,8.42,0.76,0.1,0.76,7.43,0.1,0.76,2.37,0.56,3.9,2.12
astaxie/build-web-application-with-golang,astaxie,build-web-application-with-golang,Go,A golang ebook intro how to build a web with golang,https://github.com/astaxie/build-web-application-with-golang,0.97,1.1,7.45,0.97,0.04,0.97,7.2,0.04,0.97,2.31,0.69,3.81,2.12
hiyouga/LlamaFactory,hiyouga,LlamaFactory,Python,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),https://github.com/hiyouga/LlamaFactory,1.43,1.47,8.11,1.43,0.02,1.43,4.7,0.02,1.43,2.78,1.01,2.64,2.12
dokku/dokku,dokku,dokku,Shell,A docker-powered PaaS that helps you build and manage the lifecycle of applications,https://github.com/dokku/dokku,0.7,0.68,7.78,0.7,0.09,0.7,8.47,0.09,0.7,2.11,0.52,4.4,2.12
nolimits4web/swiper,nolimits4web,swiper,JavaScript,Most modern mobile touch slider with hardware accelerated transitions,https://github.com/nolimits4web/swiper,0.92,1.03,9.46,0.92,0.03,0.92,6.27,0.03,0.92,2.66,0.65,3.33,2.12
styled-components/styled-components,styled-components,styled-components,TypeScript,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress 💅,https://github.com/styled-components/styled-components,0.9,0.88,8.61,0.9,0.03,0.9,7.0,0.03,0.9,2.44,0.64,3.69,2.12
novuhq/novu,novuhq,novu,TypeScript,"The open-source notification Inbox infrastructure. E-mail, SMS, Push and Slack Integrations.",https://github.com/novuhq/novu,0.84,0.86,7.74,0.84,0.15,0.84,7.64,0.15,0.84,2.23,0.64,4.03,2.12
tonsky/FiraCode,tonsky,FiraCode,Clojure,Free monospaced font with programming ligatures,https://github.com/tonsky/FiraCode,1.78,1.69,9.08,1.78,0.0,1.78,2.44,0.0,1.78,3.21,1.25,1.58,2.12
yewstack/yew,yewstack,yew,Rust,Rust / Wasm framework for creating reliable and efficient web applications,https://github.com/yewstack/yew,0.71,0.68,7.41,0.71,0.02,0.71,8.61,0.02,0.71,2.04,0.5,4.45,2.11
medusajs/medusa,medusajs,medusa,TypeScript,The world's most flexible commerce platform.,https://github.com/medusajs/medusa,0.7,0.72,7.78,0.7,0.07,0.7,8.39,0.07,0.7,2.12,0.51,4.35,2.11
google-research/google-research,google-research,google-research,Jupyter Notebook,Google Research,https://github.com/google-research/google-research,0.81,0.91,7.26,0.81,0.03,0.81,8.1,0.03,0.81,2.13,0.58,4.22,2.11
nektos/act,nektos,act,Go,Run your GitHub Actions locally 🚀,https://github.com/nektos/act,1.49,1.4,8.44,1.49,0.01,1.49,4.14,0.01,1.49,2.86,1.05,2.37,2.1
nlohmann/json,nlohmann,json,C++,JSON for Modern C++,https://github.com/nlohmann/json,1.07,1.12,7.78,1.07,0.03,1.07,6.46,0.03,1.07,2.43,0.76,3.45,2.1
duckdb/duckdb,duckdb,duckdb,C++,DuckDB is an analytical in-process SQL database management system,https://github.com/duckdb/duckdb,0.78,0.77,8.18,0.78,0.47,0.78,7.04,0.47,0.78,2.25,0.68,3.82,2.1
certbot/certbot,certbot,certbot,Python,Certbot is EFF's tool to obtain certs from Let's Encrypt and (optionally) auto-enable HTTPS on your server.  It can also act as a client for any other CA that uses the ACME protocol.,https://github.com/certbot/certbot,0.72,0.73,8.09,0.72,0.08,0.72,7.95,0.08,0.72,2.2,0.53,4.14,2.1
Textualize/rich,Textualize,rich,Python,Rich is a Python library for rich text and beautiful formatting in the terminal.,https://github.com/Textualize/rich,1.21,1.15,8.61,1.21,0.03,1.21,5.38,0.03,1.21,2.67,0.86,2.94,2.1
x1xhlol/system-prompts-and-models-of-ai-tools,x1xhlol,system-prompts-and-models-of-ai-tools,0,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models",https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,2.34,2.7,6.84,2.34,0.0,2.34,0.54,0.0,2.34,3.35,1.64,0.74,2.1
DopplerHQ/awesome-interview-questions,DopplerHQ,awesome-interview-questions,0,:octocat: A curated awesome list of lists of interview questions. Feel free to contribute! :mortar_board: ,https://github.com/DopplerHQ/awesome-interview-questions,1.76,1.8,8.11,1.76,0.0,1.76,2.8,0.0,1.76,3.04,1.23,1.75,2.09
composer/composer,composer,composer,PHP,Dependency Manager for PHP,https://github.com/composer/composer,0.64,0.68,8.51,0.64,0.09,0.64,7.93,0.09,0.64,2.23,0.48,4.12,2.09
eugenp/tutorials,eugenp,tutorials,Java,Getting Started with Spring Boot 3: ,https://github.com/eugenp/tutorials,0.82,1.83,7.71,0.82,0.14,0.82,6.58,0.14,0.82,2.5,0.62,3.5,2.09
agno-agi/agno,agno-agi,agno,Python,"The complete stack for AI Engineers: framework, runtime and control plane.",https://github.com/agno-agi/agno,0.81,0.84,8.11,0.81,0.03,0.81,7.47,0.03,0.81,2.28,0.58,3.91,2.09
postcss/postcss,postcss,postcss,TypeScript,Transforming styles with JS plugins,https://github.com/postcss/postcss,0.64,0.61,8.75,0.64,0.03,0.64,7.87,0.03,0.64,2.25,0.45,4.07,2.08
slidevjs/slidev,slidevjs,slidev,TypeScript,Presentation Slides for Developers,https://github.com/slidevjs/slidev,0.96,0.91,8.4,0.96,0.02,0.96,6.54,0.02,0.96,2.43,0.68,3.47,2.08
preactjs/preact,preactjs,preact,JavaScript,⚛️ Fast 3kB React alternative with the same modern API. Components & Virtual DOM.,https://github.com/preactjs/preact,0.84,0.81,8.44,0.84,0.04,0.84,7.04,0.04,0.84,2.35,0.6,3.7,2.08
cline/cline,cline,cline,TypeScript,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",https://github.com/cline/cline,1.25,1.25,8.07,1.25,0.03,1.25,5.32,0.03,1.25,2.61,0.88,2.92,2.08
lydiahallie/javascript-questions,lydiahallie,javascript-questions,0,"A long list of (advanced) JavaScript questions, and their explanations :sparkles:  ",https://github.com/lydiahallie/javascript-questions,1.43,1.5,8.21,1.43,0.01,1.43,4.16,0.01,1.43,2.81,1.01,2.37,2.07
grpc/grpc,grpc,grpc,C++,"C++ based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",https://github.com/grpc/grpc,0.97,1.11,7.43,0.97,0.41,0.97,6.29,0.41,0.97,2.3,0.8,3.46,2.07
OpenBB-finance/OpenBB,OpenBB-finance,OpenBB,Python,"Financial data platform for analysts, quants and AI agents.",https://github.com/OpenBB-finance/OpenBB,1.26,1.27,8.18,1.26,0.05,1.26,5.05,0.05,1.26,2.65,0.9,2.79,2.07
FlowiseAI/Flowise,FlowiseAI,Flowise,TypeScript,"Build AI Agents, Visually",https://github.com/FlowiseAI/Flowise,1.05,1.44,8.49,1.05,0.02,1.05,5.55,0.02,1.05,2.66,0.74,2.99,2.07
ventoy/Ventoy,ventoy,Ventoy,C,A new bootable USB solution.,https://github.com/ventoy/Ventoy,1.62,1.57,9.69,1.62,0.01,1.62,2.46,0.01,1.62,3.22,1.14,1.56,2.07
nomic-ai/gpt4all,nomic-ai,gpt4all,C++,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,https://github.com/nomic-ai/gpt4all,1.69,1.72,9.01,1.69,0.02,1.69,2.38,0.02,1.69,3.16,1.19,1.53,2.07
lodash/lodash,lodash,lodash,JavaScript,"A modern JavaScript utility library delivering modularity, performance, & extras.",https://github.com/lodash/lodash,1.35,1.38,8.0,1.35,0.05,1.35,4.58,0.05,1.35,2.69,0.96,2.57,2.06
pear-devs/pear-desktop,pear-devs,pear-desktop,TypeScript,Pear 🍐 is extension for music player,https://github.com/pear-devs/pear-desktop,0.67,0.65,7.97,0.67,0.04,0.67,8.1,0.04,0.67,2.12,0.48,4.19,2.06
dair-ai/Prompt-Engineering-Guide,dair-ai,Prompt-Engineering-Guide,MDX,"🐙 Guides, papers, lessons, notebooks and resources for prompt engineering, context engineering, RAG, and AI Agents.",https://github.com/dair-ai/Prompt-Engineering-Guide,1.51,1.53,7.81,1.51,0.01,1.51,4.02,0.01,1.51,2.78,1.06,2.31,2.06
spf13/cobra,spf13,cobra,Go,A Commander for modern Go CLI interactions,https://github.com/spf13/cobra,0.94,0.92,8.63,0.94,0.01,0.94,6.34,0.01,0.94,2.47,0.66,3.36,2.06
Eugeny/tabby,Eugeny,tabby,TypeScript,A terminal for a more modern age,https://github.com/Eugeny/tabby,1.5,1.44,9.27,1.5,0.05,1.5,3.17,0.05,1.5,3.04,1.06,1.9,2.06
prisma/prisma,prisma,prisma,TypeScript,"Next-generation ORM for Node.js & TypeScript | PostgreSQL, MySQL, MariaDB, SQL Server, SQLite, MongoDB and CockroachDB",https://github.com/prisma/prisma,0.99,0.95,8.07,0.99,0.09,0.99,6.4,0.09,0.99,2.39,0.72,3.42,2.06
foundation/foundation-sites,foundation,foundation-sites,HTML,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites that work on any kind of device.,https://github.com/foundation/foundation-sites,0.66,0.71,9.72,0.66,0.12,0.66,6.83,0.12,0.66,2.48,0.5,3.58,2.06
ReactiveX/RxJava,ReactiveX,RxJava,Java,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,https://github.com/ReactiveX/RxJava,1.07,1.13,7.92,1.07,0.04,1.07,6.0,0.04,1.07,2.46,0.76,3.23,2.06
PostHog/posthog,PostHog,posthog,Python,"🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data warehouse, a CDP, and an AI product assistant to help debug your code, ship features faster, and keep all your usage and customer data in one stack.",https://github.com/PostHog/posthog,0.68,0.66,7.74,0.68,0.23,0.68,7.85,0.23,0.68,2.08,0.54,4.13,2.06
FreeCodeCampChina/freecodecamp.cn,FreeCodeCampChina,freecodecamp.cn,CSS,FCC China open source codebase and curriculum. Learn to code and help nonprofits.,https://github.com/FreeCodeCampChina/freecodecamp.cn,0.83,0.78,10.0,0.83,0.06,0.83,5.88,0.06,0.83,2.65,0.6,3.12,2.05
stanfordnlp/dspy,stanfordnlp,dspy,Python,DSPy: The framework for programming—not prompting—language models,https://github.com/stanfordnlp/dspy,0.69,0.68,8.54,0.69,0.03,0.69,7.47,0.03,0.69,2.26,0.49,3.88,2.05
xitu/gold-miner,xitu,gold-miner,0,🥇掘金翻译计划，可能是世界最大最好的英译中技术社区，最懂读者和译者的翻译平台：,https://github.com/xitu/gold-miner,0.75,0.79,9.13,0.75,0.08,0.75,6.73,0.08,0.75,2.44,0.55,3.54,2.05
HeyPuter/puter,HeyPuter,puter,JavaScript,"🌐 The Internet Computer! Free, Open-Source, and Self-Hostable.",https://github.com/HeyPuter/puter,0.85,0.84,8.09,0.85,0.03,0.85,6.98,0.03,0.85,2.29,0.6,3.67,2.05
deepseek-ai/DeepSeek-V3,deepseek-ai,DeepSeek-V3,Python,0,https://github.com/deepseek-ai/DeepSeek-V3,2.22,2.36,7.64,2.22,0.0,2.22,0.48,0.0,2.22,3.35,1.56,0.68,2.05
seaweedfs/seaweedfs,seaweedfs,seaweedfs,Go,"SeaweedFS is a fast distributed storage system for blobs, objects, files, and data lake, for billions of files! Blob store has O(1) disk seek, cloud tiering. Filer supports Cloud Drive, xDC replication, Kubernetes, POSIX FUSE mount, S3 API, S3 Gateway, Hadoop, WebDAV, encryption, Erasure Coding. Enterprise version is at seaweedfs.com.",https://github.com/seaweedfs/seaweedfs,0.65,0.64,8.23,0.65,0.09,0.65,7.85,0.09,0.65,2.16,0.48,4.08,2.05
ant-design/ant-design-pro,ant-design,ant-design-pro,TypeScript,👨🏻‍💻👩🏻‍💻 Use Ant Design like a Pro!,https://github.com/ant-design/ant-design-pro,0.83,0.93,8.44,0.83,0.02,0.83,6.73,0.02,0.83,2.38,0.59,3.54,2.04
encode/django-rest-framework,encode,django-rest-framework,Python,Web APIs for Django. 🎸,https://github.com/encode/django-rest-framework,0.66,0.74,7.71,0.66,0.06,0.66,7.99,0.06,0.66,2.09,0.48,4.15,2.04
microsoft/monaco-editor,microsoft,monaco-editor,JavaScript,A browser based code editor,https://github.com/microsoft/monaco-editor,0.99,0.99,8.7,0.99,0.03,0.99,5.86,0.03,0.99,2.53,0.7,3.14,2.04
ryanoasis/nerd-fonts,ryanoasis,nerd-fonts,CSS,"Iconic font aggregator, collection, & patcher. 3,600+ icons, 50+ patched fonts: Hack, Source Code Pro, more. Glyph collections: Font Awesome, Material Design Icons, Octicons, & more",https://github.com/ryanoasis/nerd-fonts,1.34,1.31,8.99,1.34,0.02,1.34,3.93,0.02,1.34,2.86,0.95,2.24,2.04
type-challenges/type-challenges,type-challenges,type-challenges,TypeScript,Collection of TypeScript type challenges with online judge,https://github.com/type-challenges/type-challenges,1.04,1.06,9.86,1.04,0.01,1.04,4.82,0.01,1.04,2.81,0.73,2.62,2.04
serhii-londar/open-source-mac-os-apps,serhii-londar,open-source-mac-os-apps,0,🚀 Awesome list of open source applications for macOS. https://t.me/s/opensourcemacosapps,https://github.com/serhii-londar/open-source-mac-os-apps,1.03,0.99,8.73,1.03,0.01,1.03,5.69,0.01,1.03,2.56,0.72,3.06,2.04
square/okhttp,square,okhttp,Kotlin,"Square’s meticulous HTTP client for the JVM, Android, and GraalVM.",https://github.com/square/okhttp,1.03,1.13,8.47,1.03,0.04,1.03,5.57,0.04,1.03,2.55,0.73,3.0,2.03
h5bp/Front-end-Developer-Interview-Questions,h5bp,Front-end-Developer-Interview-Questions,Nunjucks,"A list of helpful front-end related questions you can use to interview potential candidates, test yourself or completely ignore.",https://github.com/h5bp/Front-end-Developer-Interview-Questions,1.34,1.44,7.59,1.34,0.01,1.34,4.72,0.01,1.34,2.62,0.94,2.63,2.03
animate-css/animate.css,animate-css,animate.css,CSS,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,https://github.com/animate-css/animate.css,1.82,1.98,7.26,1.82,0.0,1.82,2.4,0.0,1.82,2.96,1.27,1.57,2.02
refined-github/refined-github,refined-github,refined-github,TypeScript,:octocat: Browser extension that simplifies the GitHub interface and adds useful features,https://github.com/refined-github/refined-github,0.66,0.64,8.35,0.66,0.03,0.66,7.58,0.03,0.66,2.19,0.47,3.93,2.02
chrislgarry/Apollo-11,chrislgarry,Apollo-11,Assembly,Original Apollo 11 Guidance Computer (AGC) source code for the command and lunar modules.,https://github.com/chrislgarry/Apollo-11,1.42,1.44,8.0,1.42,0.0,1.42,4.06,0.0,1.42,2.74,0.99,2.31,2.02
umami-software/umami,umami-software,umami,TypeScript,"Umami is a modern, privacy-focused analytics platform. An open-source alternative to Google Analytics, Mixpanel and Amplitude.",https://github.com/umami-software/umami,0.76,0.82,8.47,0.76,0.04,0.76,6.87,0.04,0.76,2.32,0.55,3.6,2.02
lerna/lerna,lerna,lerna,TypeScript,"Lerna is a fast, modern build system for managing and publishing multiple JavaScript/TypeScript packages from the same repository.",https://github.com/lerna/lerna,0.79,0.77,8.37,0.79,0.02,0.79,6.89,0.02,0.79,2.3,0.56,3.61,2.02
Unitech/pm2,Unitech,pm2,JavaScript,Node.js Production Process Manager with a built-in Load Balancer.,https://github.com/Unitech/pm2,0.94,0.91,9.22,0.94,0.04,0.94,5.57,0.04,0.94,2.59,0.67,2.98,2.02
milvus-io/milvus,milvus-io,milvus,Go,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",https://github.com/milvus-io/milvus,0.93,0.92,7.97,0.93,0.17,0.93,6.29,0.17,0.93,2.33,0.7,3.38,2.02
openai/whisper,openai,whisper,Python,Robust Speech Recognition via Large-Scale Weak Supervision,https://github.com/openai/whisper,2.04,2.1,6.79,2.04,0.0,2.04,1.61,0.0,2.04,3.01,1.43,1.22,2.01
AvaloniaUI/Avalonia,AvaloniaUI,Avalonia,C#,"Develop Desktop, Embedded, Mobile and WebAssembly apps with C# and XAML. The most popular .NET UI client technology",https://github.com/AvaloniaUI/Avalonia,0.65,0.65,8.7,0.65,0.19,0.65,7.02,0.19,0.65,2.26,0.52,3.7,2.01
leonardomso/33-js-concepts,leonardomso,33-js-concepts,JavaScript,📜 33 JavaScript concepts every developer should know.,https://github.com/leonardomso/33-js-concepts,1.45,1.51,7.55,1.45,0.01,1.45,4.02,0.01,1.45,2.69,1.02,2.3,2.01
helm/helm,helm,helm,Go,The Kubernetes Package Manager,https://github.com/helm/helm,0.64,0.74,7.88,0.64,0.07,0.64,7.7,0.07,0.64,2.12,0.47,4.0,2.01
pi-hole/pi-hole,pi-hole,pi-hole,Shell,A black hole for Internet advertisements,https://github.com/pi-hole/pi-hole,1.21,1.17,8.51,1.21,0.05,1.21,4.62,0.05,1.21,2.66,0.86,2.57,2.01
toeverything/AFFiNE,toeverything,AFFiNE,TypeScript,"There can be more than Notion and Miro. AFFiNE(pronounced [ə‘fain]) is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. ",https://github.com/toeverything/AFFiNE,1.35,1.32,8.09,1.35,0.08,1.35,4.16,0.08,1.35,2.69,0.97,2.37,2.01
h5bp/html5-boilerplate,h5bp,html5-boilerplate,JavaScript,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",https://github.com/h5bp/html5-boilerplate,1.26,1.4,7.15,1.26,0.02,1.26,5.11,0.02,1.26,2.48,0.89,2.81,2.01
realpython/python-guide,realpython,python-guide,Batchfile,"Python best practices guidebook, written for humans. ",https://github.com/realpython/python-guide,0.65,0.71,8.14,0.65,0.02,0.65,7.64,0.02,0.65,2.16,0.46,3.95,2.01
ruanyf/weekly,ruanyf,weekly,0,科技爱好者周刊，每周五发布,https://github.com/ruanyf/weekly,1.8,1.73,9.15,1.8,0.01,1.8,1.35,0.01,1.8,3.25,1.26,1.04,2.0
saadeghi/daisyui,saadeghi,daisyui,Svelte,"🌼 🌼 🌼 🌼 🌼  The most popular, free and open-source Tailwind CSS component library",https://github.com/saadeghi/daisyui,0.88,0.83,8.68,0.88,0.02,0.88,6.13,0.02,0.88,2.42,0.62,3.25,2.0
GrowingGit/GitHub-Chinese-Top-Charts,GrowingGit,GitHub-Chinese-Top-Charts,Java,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,2.31,2.38,7.08,2.31,0.01,2.31,0.0,0.01,2.31,3.28,1.62,0.46,2.0
adobe/brackets,adobe,brackets,JavaScript,"An open source code editor for the web, written in JavaScript, HTML and CSS.",https://github.com/adobe/brackets,0.73,0.82,8.94,0.73,0.13,0.73,6.4,0.13,0.73,2.4,0.55,3.38,2.0
apache/kafka,apache,kafka,Java,Mirror of Apache Kafka,https://github.com/apache/kafka,0.7,0.94,7.74,0.7,0.12,0.7,7.16,0.12,0.7,2.18,0.52,3.76,1.99
PKUFlyingPig/cs-self-learning,PKUFlyingPig,cs-self-learning,HTML,计算机自学指南,https://github.com/PKUFlyingPig/cs-self-learning,1.55,1.57,7.83,1.55,0.0,1.55,3.25,0.0,1.55,2.81,1.09,1.94,1.99
GoogleChrome/lighthouse,GoogleChrome,lighthouse,JavaScript,"Automated auditing, performance metrics, and best practices for the web.",https://github.com/GoogleChrome/lighthouse,0.65,0.79,8.33,0.65,0.05,0.65,7.16,0.05,0.65,2.23,0.47,3.73,1.99
